{9.924852732206295, 2.285562392090949*^9, 6.352435027573984*^12}	{9.924852732206295, 0.0033857374733475888, 0.00452033439628214}	{9.924852732206295, 43.67354931497778, 302.33514007043686}
{9.832508234928493, 1.4671475566847649*^9, 6.808259275628338*^12}	{9.832508234928493, 0.0036769579561030745, 0.004316322813652738}	{9.832508234928493, 43.415587963754945, 291.9777283622217}
{9.81371727812004, 1.4564574349411945*^9, 6.758555277128164*^12}	{9.81371727812004, 0.003691483126911273, 0.004311194543118421}	{9.81371727812004, 43.40983709256881, 291.36385840622995}
{9.758493116215675, 1.4380895273429651*^9, 6.683156839139932*^12}	{9.758493116215675, 0.003711631925501108, 0.004301448887494375}	{9.758493116215675, 43.412715363564395, 290.50180053762773}
{9.75138174782626, 1.4330309904421523*^9, 6.662254821673531*^12}	{9.75138174782626, 0.0037190213646199045, 0.004298986881511984}	{9.75138174782626, 43.414094806640016, 290.1960579705877}
{9.733466223734892, 1.4213484142130876*^9, 6.605959981590371*^12}	{9.733466223734892, 0.003738439495177541, 0.004293789838370844}	{9.733466223734892, 43.4088120650744, 289.34256798915806}
{9.731974765523846, 1.4302941466075103*^9, 6.659239315396284*^12}	{9.731974765523846, 0.003714079840156073, 0.00430483341712868}	{9.731974765523846, 43.42982945226209, 290.61949500772846}
{9.720292736925204, 1.4057146109072123*^9, 6.538757127824197*^12}	{9.720292736925204, 0.0037596613816422556, 0.004291647554544463}	{9.720292736925204, 43.39969499065914, 288.55442467469993}
{9.645332721431666, 1.3126644703839169*^9, 6.230689263092906*^12}	{9.645332721431666, 0.0037932506073303333, 0.004298195689698213}	{9.645332721431666, 43.56883399312266, 288.8018604672726}
{9.644122972086679, 2.201385607067497*^9, 6.144252154014874*^12}	{9.644122972086679, 0.003453565721077039, 0.0044451100516857255}	{9.644122972086679, 43.66660553303644, 298.95472470288485}
{9.61167960835599, 1.0508990372228352*^9, 2.6530628798878037*^12}	{9.61167960835599, 0.0024841498877522395, 0.005296821950446834}	{9.61167960835599, 45.938673346568045, 357.2781323057402}
{9.606631366195234, 1.3074530854716454*^9, 6.174593937956497*^12}	{9.606631366195234, 0.0038266082034724936, 0.004290386761370278}	{9.606631366195234, 43.52055242260281, 287.08186410511917}
{9.525268767008123, 1.2254464734288003*^9, 5.615124234459763*^12}	{9.525268767008123, 0.004122231181878816, 0.004416009795193741}	{9.525268767008123, 43.2320763772018, 274.7475057866498}
{9.518829896310113, 1.685032771676279*^9, 6.556357645523657*^12}	{9.518829896310113, 0.002861846797715172, 0.005771145419196948}	{9.518829896310113, 42.65704894292688, 352.7379755043224}
{9.448947497936011, 2.2256667777602415*^9, 6.256792690487073*^12}	{9.448947497936011, 0.003428447163530925, 0.004484677568782202}	{9.448947497936011, 43.65515125415396, 300.57269257183884}
{9.442647056804281, 2.222757652800691*^9, 6.21190226580906*^12}	{9.442647056804281, 0.0034286460109990676, 0.004477269401768927}	{9.442647056804281, 43.65275476598114, 300.35621752327165}
{9.425253662762909, 6.999755387044717*^8, 3.3013597954094766*^12}	{9.425253662762909, 0.005339294201108085, 0.006091116175042953}	{9.425253662762909, 42.55123477894295, 118.71471388239989}
{9.355342813475604, 1.2334178917096527*^9, 6.081022406789908*^12}	{9.355342813475604, 0.003237909725307307, 0.004856766374949465}	{9.355342813475604, 44.50227775315195, 317.8513354615514}
{9.24779350926362, 2.2760430169536834*^9, 6.302296743928324*^12}	{9.24779350926362, 0.003385609890516851, 0.00454528688158285}	{9.24779350926362, 43.67558245604419, 302.91262569159164}
{9.206718227190056, 2.2273463459918566*^9, 6.212863162432031*^12}	{9.206718227190056, 0.003420691385498401, 0.00448632662205675}	{9.206718227190056, 43.65494826516058, 300.73656670267263}
{9.11832131101278, 2.1833371224065423*^9, 6.096319689084075*^12}	{9.11832131101278, 0.00345697183326671, 0.004440728206686977}	{9.11832131101278, 43.66445398680408, 298.7543536152681}
{9.092788712976223, 1.3691476603058755*^9, 6.563928057809792*^12}	{9.092788712976223, 0.0029911511346098507, 0.005177295136443476}	{9.092788712976223, 44.704685916576025, 330.6044004735077}
{9.040362695672558, 2.215614655738088*^9, 8.80451839284961*^12}	{9.040362695672558, 0.003775690510841089, 0.004366904220542523}	{9.040362695672558, 44.04047388968262, 64.76917623792737}
{9.021877586156949, 1.5492432734041483*^9, 6.097325067997418*^12}	{9.021877586156949, 0.002741475905836008, 0.005660127155755268}	{9.021877586156949, 44.23779147803571, 356.06890454973257}
{8.725779531769932, 2.4840271247031693*^9, 8.60643524142747*^12}	{8.725779531769932, 0.00406813782552039, 0.004235778188733393}	{8.725779531769932, 43.47215755001898, 83.19903049411185}
{8.692880375016326, 1.9199540042961578*^9, 5.855571364227593*^12}	{8.692880375016326, 0.006976020187977977, 0.00859251772234559}	{8.692880375016326, 41.855201347600094, 144.5493609182439}
{8.576204172099594, 1.2909446338781064*^9, 4.885678980006506*^12}	{8.576204172099594, 0.004189745236049817, 0.00432285882392986}	{8.576204172099594, 43.729091371163044, 272.66758668375894}
{8.489340408841267, 1.6733946143190603*^9, 6.337931964050692*^12}	{8.489340408841267, 0.003436035029851846, 0.004548531132826577}	{8.489340408841267, 43.418560303184115, 302.27204745845484}
{8.414514017184043, 9.271586337997997*^8, 3.46535549969234*^12}	{8.414514017184043, 0.0060799552222992135, 0.007070359147634204}	{8.414514017184043, 42.91583554542713, 130.35406613399667}
{8.28741169395853, 8.668127773912356*^8, 2.677595284317161*^12}	{8.28741169395853, 0.0028971811912142896, 0.005587449885321816}	{8.28741169395853, 42.353080608587334, 16.30967019979173}
{8.270782294454651, 1.333728955094109*^9, 6.23250713667005*^12}	{8.270782294454651, 0.0033612765767165294, 0.004763748998198538}	{8.270782294454651, 44.38211127825321, 313.52039419744335}
{8.241558692840687, 1.9945893056423736*^9, 5.458578871444578*^12}	{8.241558692840687, 0.0070937901474709495, 0.008903361881821358}	{8.241558692840687, 42.2229860209815, 150.65673860818006}
{8.196007889492947, 3.2210114077029734*^9, 8.84087365711439*^12}	{8.196007889492947, 0.0031974199007573346, 0.0054548596036653515}	{8.196007889492947, 42.74613193491841, 26.472802303994563}
{8.145478907430974, 1.1003155776718557*^9, 5.290031257981146*^12}	{8.145478907430974, 0.0042525452292080145, 0.004462967371078953}	{8.145478907430974, 43.80005992673767, 281.85563107767155}
{8.019371343515152, 2.0816812957483861*^9, 5.577973256719963*^12}	{8.019371343515152, 0.0038196839908918425, 0.004409389622461134}	{8.019371343515152, 42.976103397044476, 295.4023288733831}
{7.886915390660215, 2.610946656814898*^9, 7.554404032485711*^12}	{7.886915390660215, 0.003393161451514982, 0.005283784510394399}	{7.886915390660215, 43.051812080216585, 319.96455585396467}
{7.799686068977859, 2.0852659479565952*^9, 5.623579831844234*^12}	{7.799686068977859, 0.003832143207411189, 0.004428359819815802}	{7.799686068977859, 42.912882373923985, 295.5933009286497}
{7.798546220272465, 3.3337090601481385*^9, 9.109354334000182*^12}	{7.798546220272465, 0.003195762860437997, 0.005459370380911331}	{7.798546220272465, 42.74959716919237, 26.247157846938713}
{7.7775510799000145, 9.79801484447233*^8, 3.57872063420558*^12}	{7.7775510799000145, 0.00597537197180265, 0.006975398038751173}	{7.7775510799000145, 43.63805039706681, 129.94407734708565}
{7.734690091677977, 8.61599916374569*^8, 3.1280870997305283*^12}	{7.734690091677977, 0.00330946245162192, 0.0048322549490153075}	{7.734690091677977, 44.08704145948616, 316.9469153836958}
{7.682225579340897, 1.4866742054506402*^9, 5.795087455349905*^12}	{7.682225579340897, 0.0036768702106808808, 0.004428948802898641}	{7.682225579340897, 42.50295885137973, 295.4184205646733}
{7.6546677821765625, 2.7409064044576635*^9, 8.288344105964439*^12}	{7.6546677821765625, 0.00304701189996688, 0.0053632353787078715}	{7.6546677821765625, 43.54498056872843, 331.80867813480097}
{7.640531244652101, 3.3603368039800825*^9, 9.898739650592156*^12}	{7.640531244652101, 0.0029865131896974276, 0.005721978677411604}	{7.640531244652101, 43.56463110995188, 2.3743429304415296}
{7.569183902366578, 1.0899418086149724*^9, 2.486504611732742*^12}	{7.569183902366578, 0.005439904521889529, 0.005854500929963661}	{7.569183902366578, 41.598287217264215, 110.9676484657097}
{7.548000571081214, 3.5799969409931455*^9, 9.4793305303966*^12}	{7.548000571081214, 0.003201875885217278, 0.005408361140119}	{7.548000571081214, 42.601233042806264, 27.673173385677277}
{7.5146722969426865, 2.638022848305154*^9, 8.003418188256283*^12}	{7.5146722969426865, 0.003083871609544519, 0.005253979502191231}	{7.5146722969426865, 43.53540006610284, 327.552073002782}
{7.478032479698911, 3.5505348809037933*^9, 9.383321391483879*^12}	{7.478032479698911, 0.0032042888052145123, 0.005410662997568782}	{7.478032479698911, 42.650481072972376, 27.66802798152049}
{7.459468824232418, 3.2491628325496225*^9, 8.84415567589507*^12}	{7.459468824232418, 0.0032369023110629847, 0.005389808654889831}	{7.459468824232418, 42.87977889569353, 29.1142805245307}
{7.454811701932743, 3.483853135586632*^9, 9.310979770608174*^12}	{7.454811701932743, 0.003194376461548163, 0.005442691819216117}	{7.454811701932743, 42.72466862038909, 26.55948149860652}
{7.381065551248359, 3.592826255016825*^9, 9.502638377713064*^12}	{7.381065551248359, 0.003190978024856591, 0.005435762421265322}	{7.381065551248359, 42.65411456817152, 26.62941572138305}
{7.371007271907255, 2.131321739341513*^9, 5.69059815559353*^12}	{7.371007271907255, 0.00395120842047657, 0.004458033611294857}	{7.371007271907255, 42.57263908827776, 292.66884936482376}
{7.269667404361974, 2.606308595697178*^9, 7.914494788628746*^12}	{7.269667404361974, 0.00309612958700815, 0.005257485274826507}	{7.269667404361974, 43.50440958691941, 327.2020328361949}
{7.268108571948083, 2.5699770958379107*^9, 7.808678520389808*^12}	{7.268108571948083, 0.003110591749434218, 0.0052206976480999685}	{7.268108571948083, 43.49978420479704, 325.8104958661522}
{7.241171123803134, 2.600222687488663*^9, 7.920011865703809*^12}	{7.241171123803134, 0.0030985140810922693, 0.005267471636116393}	{7.241171123803134, 43.511115357211025, 327.40102946661705}
{7.2055369367240285, 2.5681500692722797*^9, 7.834711595228742*^12}	{7.2055369367240285, 0.0031150755272001695, 0.005211509124611033}	{7.2055369367240285, 43.50807060637331, 325.488112457718}
{7.179697337030346, 2.5629884171518283*^9, 7.80408079828242*^12}	{7.179697337030346, 0.0031147439305279335, 0.005220994971655808}	{7.179697337030346, 43.497948175700564, 325.70555097895055}
{7.173747968998515, 1.8690272132378402*^9, 6.311226156264406*^12}	{7.173747968998515, 0.005040797216339581, 0.0052680879881528845}	{7.173747968998515, 41.503983637652894, 261.03261345272995}
{7.157630564253148, 1.905285949263337*^9, 6.469035011628222*^12}	{7.157630564253148, 0.0032097570426154205, 0.005053066818703902}	{7.157630564253148, 42.999973180221126, 319.56082041435815}
