{9.908071234154628, 8.787853446675805*^6, 2.2068890138129716*^14}	{9.908071234154628, 0.00008689823114645107, 0.003044762150463792}	{9.908071234154628, 47.22609837262759, 42.47933290539419}
{9.904181182625836, 1.1439296675568383*^7, 2.3353970025056903*^14}	{9.904181182625836, 0.00003417699843119905, 0.0027691855644530936}	{9.904181182625836, 45.791823257265996, 302.2575372170926}
{9.882911278121203, 2.0618089171625253*^7, 2.7706514118929697*^14}	{9.882911278121203, 0.000029443771817538147, 0.003250133354412682}	{9.882911278121203, 48.79519856077509, 54.967341951036616}
{9.874296007925775, 2.890698999683061*^7, 2.1931272179857053*^14}	{9.874296007925775, 8.304782018569996*^-6, 0.00282023261384742}	{9.874296007925775, 44.74165039481921, 26.13438168120428}
{9.823789043155639, 1.0201407816452095*^7, 2.3929796695629603*^14}	{9.823789043155639, 0.00010600492897301834, 0.0031162694261395716}	{9.823789043155639, 47.644033561146685, 319.259353575377}
{9.713671750163808, 2.8532789570029425*^6, 3.161520944911929*^14}	{9.713671750163808, 0.00012507348340089745, 0.0035877818343920996}	{9.713671750163808, 45.39982976161942, 335.75709775589974}
{9.689882123317583, 2.0820570590397643*^6, 3.4996177715334756*^14}	{9.689882123317583, 0.0001682588799120835, 0.0029528051113361644}	{9.689882123317583, 44.26855394389738, 11.844583889492576}
{9.676034507258878, 1.0939087138958696*^7, 3.051809573162352*^14}	{9.676034507258878, 0.00007015421851068338, 0.003217056218364879}	{9.676034507258878, 49.691048471340316, 326.88164182047603}
{9.670310969908144, 2.8594784874654476*^7, 2.0727521711791678*^14}	{9.670310969908144, 0.00003572402111613077, 0.0030946979214150254}	{9.670310969908144, 45.17630522478231, 344.10661408741373}
{9.49206601248951, 1.3978012564342946*^6, 3.725937625509191*^14}	{9.49206601248951, 0.00018596751507081878, 0.003075287453881122}	{9.49206601248951, 46.60249919610956, 26.542425680083262}
{9.487745496157261, 1.7511012514770566*^6, 3.0236522211094694*^14}	{9.487745496157261, 0.00022014604654533242, 0.003235163513024262}	{9.487745496157261, 49.910233852454546, 321.531375452938}
{9.463633378614013, 7.891972606986508*^6, 2.888615370973637*^14}	{9.463633378614013, 0.00010914441962304425, 0.003318441801298732}	{9.463633378614013, 49.63941477974151, 344.7273684070552}
{9.45389277283158, 1.5640246742930338*^7, 2.7813392598032094*^14}	{9.45389277283158, 0.00004943221206820757, 0.0028532455914535315}	{9.45389277283158, 46.83024047570585, 339.9693682052239}
{9.41564374569341, 1.5711016751250379*^7, 2.6308111583589275*^14}	{9.41564374569341, 0.00004226789169612175, 0.0028913901373568813}	{9.41564374569341, 46.729722321803436, 352.5822906378484}
{9.40214719664773, 1.5886568032376923*^7, 2.922648927087838*^14}	{9.40214719664773, 0.00004666320530065783, 0.0030632206841140863}	{9.40214719664773, 48.19393596322626, 31.36879208888234}
{9.371192475637695, 2.364687574387593*^7, 2.5808621938432812*^14}	{9.371192475637695, 0.000010059998269032812, 0.002959290494933}	{9.371192475637695, 43.7834481664389, 323.6343583475092}
{9.334714979215288, 559317.7519774721, 3.73540367846052*^14}	{9.334714979215288, 0.000086655931974391, 0.002877228477808005}	{9.334714979215288, 46.68697975667914, 325.89360379088924}
{9.31662050455952, 5.724164801363355*^6, 3.189453110190397*^14}	{9.31662050455952, 0.000056646376779382785, 0.003082051812720413}	{9.31662050455952, 43.64486008045805, 337.1332378504173}
{9.29730114875061, 2.962748136694786*^6, 2.985216275434963*^14}	{9.29730114875061, 0.00009783015036375936, 0.003510647698385445}	{9.29730114875061, 42.848168876108126, 357.67083298037653}
{9.101719647869752, 2.734745791067283*^6, 3.1493261389626475*^14}	{9.101719647869752, 0.00014051755544949358, 0.0035584086665155536}	{9.101719647869752, 48.45794479060126, 324.7851480263355}
{9.100174007297317, 8.083776607071916*^6, 3.2789329203861256*^14}	{9.100174007297317, 0.000060327099749612894, 0.0031505275225881743}	{9.100174007297317, 45.43330068525004, 30.263691083456898}
{9.092002691238926, 4.509901602559536*^6, 4.5440621517676275*^14}	{9.092002691238926, 0.00006490635527954556, 0.0031602843296810765}	{9.092002691238926, 46.40782418170809, 310.45075638287506}
{8.902478315483519, 427547.89456221275, 5.933307813967128*^14}	{8.902478315483519, 0.00007712698074146945, 0.002929980337328406}	{8.902478315483519, 47.53727215124849, 297.4219323417965}
{8.818027420873404, 1.13436503614977*^7, 3.4503144703840394*^14}	{8.818027420873404, 0.000047075575414166794, 0.002973097401273458}	{8.818027420873404, 47.842565227301115, 321.76189323875457}
{8.716338627501212, 1.5273145096111586*^7, 2.8376414513027144*^14}	{8.716338627501212, 0.000039885768108854734, 0.0030758907653431838}	{8.716338627501212, 49.299876595772815, 53.647028995790116}
{8.404832305903401, 3.3040678802524703*^6, 2.918038779536737*^14}	{8.404832305903401, 0.00014472296945915162, 0.003652126399219147}	{8.404832305903401, 47.276060922119115, 316.2431990854518}
{8.299788029622363, 8.694262707836656*^6, 3.823881051791585*^14}	{8.299788029622363, 0.0000367762008862948, 0.002974556986564657}	{8.299788029622363, 45.03941689861575, 14.119954236566862}
{8.282683351430046, 8.737947998495262*^6, 2.7249068010744688*^14}	{8.282683351430046, 0.00008723809986659723, 0.003115171325663519}	{8.282683351430046, 48.385031763876924, 315.81780788028857}
{8.211797587458593, 3.0083207818988627*^6, 2.5244623366334003*^14}	{8.211797587458593, 0.00022156044865494383, 0.0032759566139166202}	{8.211797587458593, 45.09313776154558, 3.354117668097869}
{8.155013628883035, 2.4662149504050147*^6, 3.952840275548156*^14}	{8.155013628883035, 0.00009611992413470973, 0.002923839718139769}	{8.155013628883035, 47.20051347339859, 310.1319329644374}
{8.076681229969788, 7.948889252248709*^6, 2.595950117569314*^14}	{8.076681229969788, 0.0001291460574002418, 0.003193501369213101}	{8.076681229969788, 47.60454300792245, 43.43006593097106}
{8.004003150380349, 1.0732949068628682*^7, 2.5520412749963938*^14}	{8.004003150380349, 0.000051346780474285724, 0.003074035926309752}	{8.004003150380349, 48.91748015243858, 307.61752872421465}
{7.969053367057583, 2.0723285914795736*^6, 3.4818154601214894*^14}	{7.969053367057583, 0.00019813698736775615, 0.003057859712370674}	{7.969053367057583, 45.84259388889867, 7.245444185013632}
{7.851332629842826, 2.423766551143557*^6, 1.3251782451848548*^14}	{7.851332629842826, 0.0004987479287881553, 0.003454907325304627}	{7.851332629842826, 44.48838657656923, 0.6581762829724477}
{7.839750332143675, 5.703925364780236*^6, 2.991411205879185*^14}	{7.839750332143675, 0.0000968239992721016, 0.003153360097717269}	{7.839750332143675, 47.26212117920503, 321.9353467953491}
{7.804186705413733, 1.908398387179806*^6, 3.1213736218185906*^14}	{7.804186705413733, 0.000194594005542479, 0.0031772083125002613}	{7.804186705413733, 47.51859705512405, 331.0031357254879}
{7.774019824339976, 4.896779722533032*^6, 4.258632318274146*^14}	{7.774019824339976, 0.00006967703997014279, 0.0030679019099445143}	{7.774019824339976, 48.65267424615579, 324.48617112338536}
{7.763492196922513, 9.832219889112206*^6, 3.888114583688067*^14}	{7.763492196922513, 0.00003417358343491966, 0.0032340022946002528}	{7.763492196922513, 48.76737546106205, 42.66806634484026}
{7.747039761243656, 6.377376020911087*^6, 2.667839649134809*^14}	{7.747039761243656, 0.0001074164568432272, 0.00356235291474837}	{7.747039761243656, 48.90495784393903, 43.63403566713712}
{7.7091659531673065, 4.62775680004924*^6, 3.2438617107970794*^14}	{7.7091659531673065, 0.0000842363346736806, 0.0034780301968929082}	{7.7091659531673065, 44.971076203667735, 347.50744616178423}
{7.7052185235242625, 2.770231407582068*^6, 4.200722901448782*^14}	{7.7052185235242625, 0.00008158573140914519, 0.0033992089306097363}	{7.7052185235242625, 48.30090472737521, 298.34580902081103}
{7.675260549142946, 8.857203691664694*^6, 2.4669369235840262*^14}	{7.675260549142946, 0.00009104391124674602, 0.0031722324149977}	{7.675260549142946, 48.252428750610626, 56.026619256190735}
{7.637920656407647, 2.12189010234232*^6, 3.022232236031466*^14}	{7.637920656407647, 0.0001764724961108195, 0.003116056515996665}	{7.637920656407647, 48.17434494552127, 307.55533076699516}
{7.607740170992321, 2.3069616999540203*^6, 2.372229574092248*^14}	{7.607740170992321, 0.00017874359709711834, 0.0033355348959915065}	{7.607740170992321, 44.72239111106128, 13.08344332769172}
{7.415362702967177, 2.0341040529612932*^7, 2.515675390134387*^14}	{7.415362702967177, 0.00002800071909739248, 0.003103195961505984}	{7.415362702967177, 49.317529727752714, 308.07740901537824}
{7.327123564734848, 5.038587602065057*^6, 4.6743340487041625*^14}	{7.327123564734848, 0.00006129992429907656, 0.0033194611551465706}	{7.327123564734848, 48.17610434700855, 22.568786297536352}
{7.238449738627125, 3.9232756410189243*^6, 4.0709094902558556*^14}	{7.238449738627125, 0.00008813330189175857, 0.0031954276663160347}	{7.238449738627125, 48.72633654947451, 61.27513301043423}
{7.155114949602982, 6.555142522168801*^6, 1.8707895930152072*^14}	{7.155114949602982, 0.00015997676561084392, 0.0031784946815204846}	{7.155114949602982, 47.0290833443683, 332.00182673140216}
{7.143983586220344, 6.777549241059082*^6, 3.156065534662852*^14}	{7.143983586220344, 0.00005923392448039179, 0.003442768608475867}	{7.143983586220344, 46.71870354719446, 338.67342811687746}
{7.122756066577941, 6.861518953624053*^6, 2.6392803035473984*^14}	{7.122756066577941, 0.0001758847130150874, 0.003374400847387361}	{7.122756066577941, 47.930853854262025, 23.449911292913836}
{7.116461290679451, 1.0230238089846618*^7, 2.3092274557557228*^14}	{7.116461290679451, 0.00010219229276870789, 0.0030549443696673262}	{7.116461290679451, 46.12621605686863, 348.6713354852005}
{7.059844010375935, 9.841751747900805*^6, 2.5742941731986703*^14}	{7.059844010375935, 0.00010305128790593194, 0.00308747441505399}	{7.059844010375935, 46.33936325575827, 350.1300235645001}
{7.009714854297363, 3.2098936145655205*^6, 3.5484840826832475*^14}	{7.009714854297363, 0.00015645289824436394, 0.003247384453069897}	{7.009714854297363, 47.03469250397736, 25.31464581160496}
{6.9678794585943615, 2.497708025664614*^6, 1.668164440973578*^14}	{6.9678794585943615, 0.000288158833123972, 0.003277252356564119}	{6.9678794585943615, 46.494813477301435, 335.0438931686193}
{6.906693027583374, 4.537508601485934*^6, 4.0113634054507856*^14}	{6.906693027583374, 0.00009168568048989603, 0.0035012311908769796}	{6.906693027583374, 47.044734087331975, 343.19132729808774}
{6.890739602685979, 712182.2532565803, 3.839747773880625*^14}	{6.890739602685979, 0.00010285623431427963, 0.0030286888981970145}	{6.890739602685979, 45.859078692017846, 351.37368573810625}
{6.888616378415141, 1.2464198247454409*^6, 4.3301165214178044*^14}	{6.888616378415141, 0.00010956839028169725, 0.0030065171589046496}	{6.888616378415141, 45.162948538628775, 3.8676493966433165}
